file_name,file_path,file_extension,file_size_mb,content_length,content_hash,mime_type,semantic_categories,project_context,content_type,key_phrases,relationships,intelligent_description,organization_priority,suggested_destination,restore_instructions,backup_recommended,code_complexity,documentation_quality,project_maturity,technical_debt
animal_legs_tests.csv,/Users/steven/Documents/claude/claude-courses-master/prompt_evaluations/05_prompt_foo_code_graded_animals/animal_legs_tests.csv,.csv,0.0,588,a38bdb6027ae8185,text/csv,,general,test_file,,,Small file - likely configuration or simple content | Test file or specification | General project file,0,~/Documents/CsV/Tests/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
dataset.csv,/Users/steven/Documents/claude/claude-courses-master/prompt_evaluations/06_prompt_foo_code_graded_classification/dataset.csv,.csv,0.0,1825,5889ab8985c6fd0f,text/csv,data_analysis; portfolio_work; media_content; configuration,portfolio_projects,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | Portfolio or showcase project material | Data analysis or research | Portfolio or professional work,21,~/Documents/CsV/Portfolio/Data/Data-Analysis/Experimental,Part of portfolio projects project,False,low,low,low,low
Untitled 15236221d8b2808aa697d88175ddfe35_all.csv,/Users/steven/Documents/Notion/79cfdbdd-8063-428d-961c-d0974f1d45d9_Export-29e4c77a-eca0-45f9-8032-7841592280eb/Untitled 15236221d8b2808aa697d88175ddfe35_all.csv,.csv,1.1,1150793,bc376bfcad09b3da,text/csv,ai_ml; web_development; data_analysis; portfolio_work; documentation; automation_scripts; media_content; configuration,as_man_thinketh,markdown_documentation,,url_leonardo.ai; url_leonardo.ai; url_images.pexels.com; url_images.pexels.com; url_aiavatararts.com; versioned_file,Small file - likely configuration or simple content | Markdown documentation with structured content | Part of the 'As a Man Thinketh' audiobook project | AI/ML related content | Web development project,65,~/Documents/CsV/As-a-Man-Thinketh/Documentation/AI-ML/Experimental,Part of as man thinketh project,False,low,low,low,low
tools 15936221d8b28192b15fd6e595cc9b14.csv,/Users/steven/Documents/Notion/AI Content-Master 15936221d8b28005a532cadcd7b4f2ed/tools 15936221d8b28192b15fd6e595cc9b14.csv,.csv,0.01,5290,05c0e3d16f6a0f8e,text/csv,ai_ml; web_development; data_analysis; portfolio_work; documentation; automation_scripts; media_content,youtube_content,structured_data,https,url_stablediffusionweb.com; url_speech.microsoft.com; url_tome.app; url_palette.fm; url_pfpmaker.com,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | YouTube content or video-related material | AI/ML related content | Web development project | Contains: https,33,~/Documents/CsV/YouTube-Content/Data/AI-ML/Experimental,Part of youtube content project,False,low,low,low,low
more products (7) 15936221d8b281f2bf81e3799b598c7d.csv,/Users/steven/Documents/Notion/Export-50ef9a3a-d739-42e2-98a2-0a2d15b23936/AI Content-Master 15936221d8b28005a532cadcd7b4f2ed/more products (7) 15936221d8b281f2bf81e3799b598c7d.csv,.csv,0.0,193,d31909d4ddc3c742,text/csv,web_development,general,structured_data,https,url_notionplates.gumroad.com; url_notionplates.gumroad.com,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file | Web development project | Contains: https,8,~/Documents/CsV/Data/Web-Development/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
categories 15936221d8b281e9b6e6d5c1cda931be.csv,/Users/steven/Documents/Notion/Export-50ef9a3a-d739-42e2-98a2-0a2d15b23936/AI Content-Master 15936221d8b28005a532cadcd7b4f2ed/categories 15936221d8b281e9b6e6d5c1cda931be.csv,.csv,0.0,41,847546f1f375b27a,text/csv,media_content,general,general_content,,,Small file - likely configuration or simple content | General content file | General project file | Media or creative content,0,~/Documents/CsV/Media/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
tools 15936221d8b28161bbbdf01d87ac6b55.csv,/Users/steven/Documents/Notion/AI Content-Master 15936221d8b280b5b989ea8b721de4e6/tools 15936221d8b28161bbbdf01d87ac6b55.csv,.csv,0.01,5290,43a3345fc93c9283,text/csv,ai_ml; web_development; data_analysis; portfolio_work; documentation; automation_scripts; media_content,youtube_content,structured_data,https,url_stablediffusionweb.com; url_speech.microsoft.com; url_pfpmaker.com; url_tome.app; url_www.voicemod.net,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | YouTube content or video-related material | AI/ML related content | Web development project | Contains: https,33,~/Documents/CsV/YouTube-Content/Data/AI-ML/Experimental,Part of youtube content project,False,low,low,low,low
Prompt Database 15436221d8b2813d9134f2b77dc7ddc8.csv,/Users/steven/Documents/Notion/AI Prompt Organizer 15436221d8b280b9ba03fde213f21175/Prompt Database 15436221d8b2813d9134f2b77dc7ddc8.csv,.csv,0.0,773,641e70dbde176100,text/csv,ai_ml; data_analysis; automation_scripts; media_content,as_man_thinketh,structured_data,python,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | Part of the 'As a Man Thinketh' audiobook project | AI/ML related content | Data analysis or research | Contains: python,28,~/Documents/CsV/As-a-Man-Thinketh/Data/AI-ML/Experimental,Part of as man thinketh project,False,low,low,low,low
Untitled 15436221d8b28116b57ccd9db2d8a9a6.csv,/Users/steven/Documents/Notion/Export-50ef9a3a-d739-42e2-98a2-0a2d15b23936/AI Prompt Organizer 15436221d8b280b9ba03fde213f21175/Untitled 15436221d8b28116b57ccd9db2d8a9a6.csv,.csv,0.0,28,c83012bb574cd836,text/csv,,general,backup_file,,,Small file - likely configuration or simple content | Backup or archived file | General project file,0,~/Documents/CsV/Backups/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Reusable Prompt Database 15436221d8b281a8be12ff9fc5ffd32a.csv,/Users/steven/Documents/Notion/Export-50ef9a3a-d739-42e2-98a2-0a2d15b23936/AI Prompt Organizer 15436221d8b280b9ba03fde213f21175/Reusable Prompt Database 15436221d8b281a8be12ff9fc5ffd32a.csv,.csv,0.0,2088,f5b61c5989034847,text/csv,ai_ml; data_analysis; portfolio_work; automation_scripts; media_content,youtube_content,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | YouTube content or video-related material | AI/ML related content | Data analysis or research,25,~/Documents/CsV/YouTube-Content/Data/AI-ML/Experimental,Part of youtube content project,False,low,low,low,low
Quick Links eb8a14dfb5a04b01bc20ce67a500addb.csv,/Users/steven/Documents/Notion/Export-50ef9a3a-d739-42e2-98a2-0a2d15b23936/Content Planner fdfa7ac7379a4c5cbe7ae8077e2217d2/Quick Links eb8a14dfb5a04b01bc20ce67a500addb.csv,.csv,0.0,397,6cf01b30d962a1bb,text/csv,,youtube_content,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | YouTube content or video-related material,0,~/Documents/CsV/YouTube-Content/Data/Experimental,Part of youtube content project,False,low,low,low,low
DALL-E 3 image gallery d4a9a67282ef41e19f449617b809bb59.csv,/Users/steven/Documents/Notion/OS Pages 190172d3915b4f54b350e17e2ca81e51/DALL-E 3 Gallery 0951b223b6b54cd686ec462b9af6adcc/DALL-E 3 image gallery d4a9a67282ef41e19f449617b809bb59.csv,.csv,0.0,2810,3b56b11ce099a293,text/csv,ai_ml; web_development; automation_scripts; media_content,general,structured_data,https; openai; trim; width,url_images.openai.com; url_images.openai.com; url_images.openai.com; url_images.openai.com; url_images.openai.com,"Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file | AI/ML related content | Web development project | Contains: https, openai, trim",25,~/Documents/CsV/Data/AI-ML/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
DB_FeaturedAITools 3bce05e1eb624c489f357292c69a240c.csv,/Users/steven/Documents/Notion/AI Tools ba636b6280eb470486deef7cf3017aa1/Database 819a17c2afae4f5f8a9b91fee6ac810e/DB_FeaturedAITools 3bce05e1eb624c489f357292c69a240c.csv,.csv,0.0,2229,cc5ab6c0761b080f,text/csv,ai_ml; web_development; data_analysis; portfolio_work; automation_scripts; media_content,youtube_content,structured_data,https; via; fpr; ref; source; utm_campaign; utm_medium,url_app.photoai.me; url_rytr.me; url_www.deepbrain.io; url_speakai.co; url_podcastle.ai,"Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | YouTube content or video-related material | AI/ML related content | Web development project | Contains: https, via, fpr",33,~/Documents/CsV/YouTube-Content/Data/AI-ML/Experimental,Part of youtube content project,False,low,low,low,low
rootkey.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/rootkey.csv,.csv,0.0,95,0e64715bfa896019,text/csv,,general,general_content,,,Small file - likely configuration or simple content | General content file | General project file,0,~/Documents/CsV/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Intro AI Course Plan.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv,.csv,0.0,0,unreadable,unknown,unreadable,unknown,unreadable,,,File could not be read for analysis,1,~/Documents/Other/Unreadable/,File could not be analyzed - restore with caution,True,unknown,unknown,unknown,unknown
ichoake_accessKeys.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/ichoake_accessKeys.csv,.csv,0.0,95,fb627d217ab1cf17,text/csv,,general,general_content,,,Small file - likely configuration or simple content | General content file | General project file,0,~/Documents/CsV/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
