File,Path,Subdirectory,Parent,Depth,Size,Lines,Functions,Classes,Imports,Hash,Modified,Docstring,Creative_Purpose,Business_Domain,What_It_Does,Key_Features,Dependencies,Has_CLI,Has_Argparse,Has_Async,Has_Threading,Has_Database,Has_API,Has_Media,Has_AI,Has_DryRun,Has_Backup,Deep_Description
comprehensive_organize_70.py,comprehensive_organize_70.py,.,ROOT,0,8821,278,6,0,6,8810af4f20a3,2026-01-04,"Three-phase reorganizer — remove empty, merge small, consolidate by category.",70-Dir Organizer,File Management,"Three-phase reorganizer — remove empty, merge small, consolidate by category.",CLI;JSON,"os,shutil,json",yes,no,no,no,no,no,no,no,no,no,Reads 70_directories_analysis.json. Phase 1: remove empty. Phase 2: merge small. Phase 3: consolidate by category.
enhanced_ai_cli.py,enhanced_ai_cli.py,.,ROOT,0,15439,432,20,4,10,c5894876e514,2026-01-21,"Unified CLI for Claude, OpenAI, Groq — loads .env.d, interactive conversation mode, saves/loads conversations.",AI CLI Ensemble,AI Services,"Unified CLI for Claude, OpenAI, Groq — loads .env.d, interactive conversation mode, saves/loads conversations.",CLI;argparse;AI;HTTP,"openai,anthropic",yes,yes,no,no,no,yes,no,yes,no,no,"Provider abstraction layer, conversation history, .env.d config loading, multiple model support."
ai_receptionist.py,ai_receptionist.py,.,ROOT,0,28932,863,18,4,9,89975e95ea68,2026-01-12,"Full SaaS — client management, appointment booking, call logging, OpenAI transcription, monthly billing.",AI Receptionist,Receptionist/SaaS,"Full SaaS — client management, appointment booking, call logging, OpenAI transcription, monthly billing.",CLI;SQLite;AI;HTTP,"openai,sqlite3,json",yes,no,no,no,yes,yes,no,yes,no,no,"Business client system with SQLite DB, OpenAI voice transcription, appointment scheduling, analytics."
ai_receptionist_web.py,ai_receptionist_web.py,.,ROOT,0,13825,363,7,0,3,2749e7a84e28,2026-01-12,Web interface for the AI receptionist.,AI Receptionist,Receptionist/SaaS,Web interface for the AI receptionist.,CLI;AI;HTTP;Web,"openai,flask",yes,no,no,no,no,yes,no,yes,no,no,Flask web frontend for AI receptionist booking system.
ai_receptionist_demo.py,ai_receptionist_demo.py,.,ROOT,0,11024,342,11,0,2,b7c4164e9838,2026-01-12,Demo version of the AI receptionist system.,AI Receptionist,Receptionist/SaaS,Demo version of the AI receptionist system.,CLI;AI;HTTP,openai,yes,no,no,no,no,yes,no,yes,no,no,Demonstration of AI receptionist capabilities.
compare_archives.py,compare_archives.py,.,ROOT,0,7472,188,1,0,5,d284671b2984,2026-02-12,"Time machine — compares .tar.gz ""before cleanup"" vs .zip ""after cleanup"" vs live target directory.",Archive Comparator,Music Production,"Time machine — compares .tar.gz ""before cleanup"" vs .zip ""after cleanup"" vs live target directory.",CLI,"pathlib,tarfile,zipfile,csv",yes,no,no,no,no,no,no,no,no,no,"Archive diff tool: common files, only-in-A, only-in-B, size differences. Written for music backup comparison."
convert-loop2.py,convert-loop2.py,.,ROOT,0,5868,177,5,0,7,ebc9a4d4a8b5,2026-02-12,Runs each image through 4 Leonardo AI styles — like showing the same scene to four different artists.,Art Director Loop,Visual Art,Runs each image through 4 Leonardo AI styles — like showing the same scene to four different artists.,HTTP;media,"requests,PIL",no,no,no,no,no,yes,yes,no,no,no,"Uploads to Leonardo AI, cycles through GENERAL/CINEMATIC/2D ART/CG ART styles, logs every variation to CSV."
continue_from_csv_analysis.py,continue_from_csv_analysis.py,.,ROOT,0,8370,227,6,0,6,6c50cdf00d44,2026-01-04,"Reads insights JSON from CSV analysis, generates prioritized action plan with 🔴🟡🟢 priority icons.",CSV Insight Continuer,Data Science,"Reads insights JSON from CSV analysis, generates prioritized action plan with 🔴🟡🟢 priority icons.",CLI;argparse;JSON,"json,csv,pathlib",yes,yes,no,no,no,no,no,no,no,no,"Actions: organize largest category, process high-priority files, improve unknown metrics, create directory structure."
cleanup_and_organize.py,cleanup_and_organize.py,.,ROOT,0,5841,209,5,0,5,8b75a5555c9e,2026-02-12,"Cleans ~/clean, creates run_all.sh, writes README.",Cleanup Coordinator,System Administration,"Cleans ~/clean, creates run_all.sh, writes README.",CLI,"os,shutil,pathlib",yes,no,no,no,no,no,no,no,no,no,"Removes .py-bak files, renames cleanup2→cleanup, creates runner script."
improve_paste_export.py,improve_paste_export.py,.,ROOT,0,7891,258,3,0,6,f627b416c5e8,2026-01-17,First version of Paste.app clipboard content extractor.,Clipboard Archaeologist,System Administration,First version of Paste.app clipboard content extractor.,CLI;SQLite,"sqlite3,json",yes,no,no,no,yes,no,no,no,no,no,Earlier version of clipboard history export with content extraction.
improve_paste_export_v2.py,improve_paste_export_v2.py,.,ROOT,0,6891,246,4,0,4,cd182dd2720c,2026-01-17,Extracts real clipboard text from Paste.app CoreData ZRAWPREVIEW JSON blobs — recovering what you copied and forgot.,Clipboard Archaeologist,System Administration,Extracts real clipboard text from Paste.app CoreData ZRAWPREVIEW JSON blobs — recovering what you copied and forgot.,CLI;SQLite,"sqlite3,json,pathlib",yes,no,no,no,yes,no,no,no,no,no,"Connects to Paste.app SQLite, extracts ZRAWPREVIEW, groups by date, writes daily Markdown files."
advanced_code_analyzer.py,advanced_code_analyzer.py,.,ROOT,0,31043,814,24,9,12,b2b14d72071a,2026-04-12,"AST-based quality gate — cyclomatic complexity, eval/exec/shell injection detection, hardcoded secrets, PEP 8, doc quality.",Code Quality Auditor,AI Services,"AST-based quality gate — cyclomatic complexity, eval/exec/shell injection detection, hardcoded secrets, PEP 8, doc quality.",CLI;argparse;parallel,"ast,re,json,logging",yes,yes,no,yes,no,no,no,no,no,no,"Reads Python AST, calculates per-function complexity, scans 7 security patterns, outputs JSON/HTML reports."
