current_name,description,new_name,action,category
analyze-metadata.py,Generates cinematic image prompts FROM timestamped transcripts (text → image prompts),transcript-to-image-prompts.py,RENAME,Image Generation
analyze-prompt.py,"Enriches existing CSV with GPT Vision analysis (reads CSV, adds AI metadata)",gpt-vision-csv-enricher.py,RENAME,Image Analysis
analyze-reader.py,"Analyzes images with GPT Vision for POD products (generates SEO, tags, product suggestions)",gpt-vision-image-analyzer.py,RENAME,Image Analysis
alchemy-quiz.py,CSV to audio quiz - Reads quiz CSV file and generates MP3s using OpenAI TTS,csv-to-audio-quiz.py,RENAME,Audio Generation
ai-stability-code.py,"Intelligent code quality analyzer - Security, performance, style analysis with confidence scoring",code-quality-analyzer.py,RENAME,Code Analysis
ADVANCED_SYSTEMS_CATALOG.py,"Project cataloger - Discovers all projects (pythons, workspace, GitHub) with tech stacks",project-catalog-generator.py,RENAME,Documentation
AI_ORCHESTRATOR_ULTIMATE.py,"Multi-LLM orchestrator - Routes tasks to best AI model (12 APIs: GPT, Claude, Grok, Groq, etc.)",multi-llm-orchestrator.py,RENAME,AI Tools
AI_SETUP_VERIFICATION.py,AI SDK checker - Verifies installation of all AI service SDKs and API keys,check-ai-sdks.py,RENAME,AI Tools
album-sorting.py,Media album sorter - Sorts mp3/mp4/txt files by album name into organized folders,sort-media-by-album.py,RENAME,Media Organization
analyze-code-complexity.py,"Python complexity analyzer - Uses Radon + Pylint for cyclomatic complexity, maintainability index",python-complexity-analyzer.py,RENAME,Code Analysis
analyze-file-migration.py,Migration planner - Shows what files will be migrated to which category folders,migration-planner.py,RENAME,File Organization
analyze-file-versions.py,"Version detector - Finds all versioned scripts (script_v1, script_v2, etc.) and suggests which to keep",find-script-versions.py,RENAME,File Organization
analyze-files-comprehensive.py,Master analyzer - Runs ALL 14 production tools + 8 AI models for complete file analysis,master-file-analyzer.py,RENAME,File Analysis
analyze-json-writer.py,Image metadata helpers - Shared utilities for GPT-based image metadata enrichment,image-metadata-helpers.py,RENAME,Image Analysis
_RefreshThread.py,"Rich library threading code - Not user code, part of Rich terminal library",,DELETE,Cleanup
alchemyapi-audio-demo-generator.py,Too project-specific - Creates emotional audio demos for AlchemyAPI project,,DELETE,Cleanup
ai-deep-analyzer.py,AI code analyzer with AST + semantic analysis - Already has good descriptive name,ai-deep-analyzer.py,KEEP,Code Analysis
ai-docs-generator.py,AI documentation generator - Uses GPT-4/Claude to analyze and document scripts,ai-docs-generator.py,KEEP,Documentation
