file_name,file_extension,correct_directory,current_location,file_size_mb,modified_date,relative_path,full_path,project_context,content_type,relationships,intelligent_description,organization_priority
ChatGPT-Automation-Sora-epic.html,.html,HTML,Other: portfolio,104.4,2025-10-14 10:50:24,Docs/05_Documentation_and_Notes/comprehensive_docs/portfolio/ChatGPT-Automation-Sora-epic.html,/Users/steven/Documents/Docs/05_Documentation_and_Notes/comprehensive_docs/portfolio/ChatGPT-Automation-Sora-epic.html,portfolio_work,regular_content,[],Large file - likely contains substantial data or media | Web page or HTML document | Portfolio or showcase material,21
Automation-Sora-epic.html,.html,HTML,Other: portfolio,104.92,2025-09-03 22:49:03,Docs/05_Documentation_and_Notes/comprehensive_docs/portfolio/Automation-Sora-epic.html,/Users/steven/Documents/Docs/05_Documentation_and_Notes/comprehensive_docs/portfolio/Automation-Sora-epic.html,portfolio_work,regular_content,[],Large file - likely contains substantial data or media | Web page or HTML document | Portfolio or showcase material,21
chat.html,.html,HTML,Other: portfolio,290.95,2025-04-29 07:59:24,Docs/05_Documentation_and_Notes/comprehensive_docs/portfolio/chat.html,/Users/steven/Documents/Docs/05_Documentation_and_Notes/comprehensive_docs/portfolio/chat.html,portfolio_work,regular_content,[],Large file - likely contains substantial data or media | Web page or HTML document | Portfolio or showcase material,21
SESSION-SUMMARY-OCT-25-2025.md,.md,markD,Claude Projects,0.01,2025-10-25 07:15:38,claude/setup/SESSION-SUMMARY-OCT-25-2025.md,/Users/steven/Documents/claude/setup/SESSION-SUMMARY-OCT-25-2025.md,claude_projects,reports,[],"Small file - likely configuration, script, or simple data | Markdown documentation or notes | Claude AI course or tutorial material | Generated report or analysis",16
IMPROVEMENTS-SUMMARY.md,.md,markD,Claude Projects,0.01,2025-10-25 06:42:25,claude/setup/IMPROVEMENTS-SUMMARY.md,/Users/steven/Documents/claude/setup/IMPROVEMENTS-SUMMARY.md,claude_projects,reports,[],"Small file - likely configuration, script, or simple data | Markdown documentation or notes | Claude AI course or tutorial material | Generated report or analysis",16
STEVEN-CREATIVE-EMPIRE-ANALYSIS.md,.md,markD,Claude Projects,0.02,2025-10-25 07:15:37,claude/setup/STEVEN-CREATIVE-EMPIRE-ANALYSIS.md,/Users/steven/Documents/claude/setup/STEVEN-CREATIVE-EMPIRE-ANALYSIS.md,claude_projects,reports,[],"Small file - likely configuration, script, or simple data | Markdown documentation or notes | Claude AI course or tutorial material | Generated report or analysis",16
ultimate-claude-setup-macos.md,.md,markD,Claude Projects,0.02,2025-10-25 09:56:14,claude/fix-macos/ultimate-claude-setup-macos.md,/Users/steven/Documents/claude/fix-macos/ultimate-claude-setup-macos.md,claude_projects,configurations,[],"Small file - likely configuration, script, or simple data | Markdown documentation or notes | Claude AI course or tutorial material | Configuration or settings file",16
MASTER-SUMMARY.md,.md,markD,Claude Projects,0.01,2025-10-25 09:56:14,claude/fix-macos/MASTER-SUMMARY.md,/Users/steven/Documents/claude/fix-macos/MASTER-SUMMARY.md,claude_projects,reports,[],"Small file - likely configuration, script, or simple data | Markdown documentation or notes | Claude AI course or tutorial material | Generated report or analysis",16
SETUP-CHECKLIST.md,.md,markD,Claude Projects,0.01,2025-10-25 09:56:14,claude/fix-macos/SETUP-CHECKLIST.md,/Users/steven/Documents/claude/fix-macos/SETUP-CHECKLIST.md,claude_projects,configurations,[],"Small file - likely configuration, script, or simple data | Markdown documentation or notes | Claude AI course or tutorial material | Configuration or settings file",16
ultimate-claude-setup-macos.md,.md,markD,Claude Projects,0.02,2025-10-25 09:48:20,claude/setup/docs/ultimate-claude-setup-macos.md,/Users/steven/Documents/claude/setup/docs/ultimate-claude-setup-macos.md,claude_projects,configurations,[],"Small file - likely configuration, script, or simple data | Markdown documentation or notes | Claude AI course or tutorial material | Configuration or settings file",16
SETUP-CHECKLIST.md,.md,markD,Claude Projects,0.01,2025-10-25 09:48:20,claude/setup/docs/SETUP-CHECKLIST.md,/Users/steven/Documents/claude/setup/docs/SETUP-CHECKLIST.md,claude_projects,configurations,[],"Small file - likely configuration, script, or simple data | Markdown documentation or notes | Claude AI course or tutorial material | Configuration or settings file",16
01-EXECUTIVE-SUMMARY.md,.md,markD,Claude Projects,0.01,2025-10-25 07:24:53,claude/setup/creative-empire/01-EXECUTIVE-SUMMARY.md,/Users/steven/Documents/claude/setup/creative-empire/01-EXECUTIVE-SUMMARY.md,claude_projects,reports,[],"Small file - likely configuration, script, or simple data | Markdown documentation or notes | Claude AI course or tutorial material | Generated report or analysis",16
setup.md,.md,markD,Claude Projects,0.01,2025-10-24 17:17:11,claude/claude-code-action-main/docs/setup.md,/Users/steven/Documents/claude/claude-code-action-main/docs/setup.md,claude_projects,configurations,[],"Small file - likely configuration, script, or simple data | Markdown documentation or notes | Claude AI course or tutorial material | Configuration or settings file",16
configuration.md,.md,markD,Claude Projects,0.01,2025-10-24 17:17:11,claude/claude-code-action-main/docs/configuration.md,/Users/steven/Documents/claude/claude-code-action-main/docs/configuration.md,claude_projects,configurations,[],"Small file - likely configuration, script, or simple data | Markdown documentation or notes | Claude AI course or tutorial material | Configuration or settings file",16
bug_report.md,.md,markD,Claude Projects,0.0,2025-10-24 17:17:11,claude/claude-code-action-main/.github/ISSUE_TEMPLATE/bug_report.md,/Users/steven/Documents/claude/claude-code-action-main/.github/ISSUE_TEMPLATE/bug_report.md,claude_projects,reports,[],"Small file - likely configuration, script, or simple data | Markdown documentation or notes | Claude AI course or tutorial material | Generated report or analysis",16
sample-turns-expected-output.md,.md,markD,Claude Projects,0.0,2025-10-24 17:17:11,claude/claude-code-action-main/test/fixtures/sample-turns-expected-output.md,/Users/steven/Documents/claude/claude-code-action-main/test/fixtures/sample-turns-expected-output.md,claude_projects,templates,[],"Small file - likely configuration, script, or simple data | Markdown documentation or notes | Claude AI course or tutorial material | Template or example file",16
pull_request_template.md,.md,markD,Claude Projects,0.0,2025-10-15 14:32:31,claude/claude-quickstarts-main/.github/pull_request_template.md,/Users/steven/Documents/claude/claude-quickstarts-main/.github/pull_request_template.md,claude_projects,templates,[],"Small file - likely configuration, script, or simple data | Markdown documentation or notes | Claude AI course or tutorial material | Template or example file",16
Professional Analysis & Implementation Guide.md,.md,markD,As-a-man-thinketh Project,0.01,2025-10-16 04:04:03,As-a-man-thinketh/text_files/Professional Analysis & Implementation Guide.md,/Users/steven/Documents/As-a-man-thinketh/text_files/Professional Analysis & Implementation Guide.md,as_man_thinketh_project,reports,[],"Small file - likely configuration, script, or simple data | Markdown documentation or notes | Part of the 'As a Man Thinketh' audiobook project | Generated report or analysis",16
As_Man_Thinketh_Book_Analysis.md,.md,markD,As-a-man-thinketh Project,0.02,2025-10-07 06:32:09,As-a-man-thinketh/text_files/As_Man_Thinketh_Book_Analysis.md,/Users/steven/Documents/As-a-man-thinketh/text_files/As_Man_Thinketh_Book_Analysis.md,as_man_thinketh_project,reports,[],"Small file - likely configuration, script, or simple data | Markdown documentation or notes | Part of the 'As a Man Thinketh' audiobook project | Generated report or analysis",16
AS_A_MAN_THINKETH_RENAMING_RESULTS.md,.md,markD,As-a-man-thinketh Project,0.01,2025-10-16 03:55:56,As-a-man-thinketh/text_files/AS_A_MAN_THINKETH_RENAMING_RESULTS.md,/Users/steven/Documents/As-a-man-thinketh/text_files/AS_A_MAN_THINKETH_RENAMING_RESULTS.md,as_man_thinketh_project,reports,[],"Small file - likely configuration, script, or simple data | Markdown documentation or notes | Part of the 'As a Man Thinketh' audiobook project | Generated report or analysis",16
