keyword,title,searches,competition,trend,design_concept,target_products,color_scheme,typography_style
detectorists_tshirts,Detectorists Tshirts,1522,low,british_tv,"Modern, clean design with trending elements",t-shirts|stickers|posters,black|white|accent color,Modern sans-serif
pee_wee,Pee Wee,1348,medium,nostalgia,Vintage-inspired design with sepia tones and retro typography,posters|t-shirts|mugs|notebooks,sepia|vintage pastels|faded colors,Handwritten script or vintage serif
mojo_dojo_house,Mojo Dojo House,1340,low,barbie_core,"Vibrant, playful design with pink/blue color scheme and retro-futuristic elements",t-shirts|stickers|phone cases|mugs|posters,hot pink|electric blue|metallic gold,"Bold, playful sans-serif with retro elements"
a_book_a_day_keeps_reality_away,A Book A Day Keeps Reality Away,1159,low,book_lovers,"Modern, clean design with trending elements",t-shirts|stickers|posters,black|white|accent color,Modern sans-serif
tater_tot_cat,Tater Tot Cat,1132,low,cute_animals,"Modern, clean design with trending elements",t-shirts|stickers|posters,black|white|accent color,Modern sans-serif
lancashire_heeler,Lancashire Heeler,962,low,dog_breeds,"Modern, clean design with trending elements",t-shirts|stickers|posters,black|white|accent color,Modern sans-serif
xena,Xena,954,medium,90s_tv,"Modern, clean design with trending elements",t-shirts|stickers|posters,black|white|accent color,Modern sans-serif
electricity_kills,Electricity Kills,824,low,dark_humor,Minimalist typography with subtle dark humor elements and monochromatic palette,t-shirts|stickers|mugs|posters,black|white|muted red,"Clean, modern sans-serif"
my_boat_doesnt_run_on_thanks,My Boat Doesnt Run On Thanks,690,low,sarcasm,"Modern, clean design with trending elements",t-shirts|stickers|posters,black|white|accent color,Modern sans-serif
cool_iron_on_patches,Cool Iron On Patches,658,medium,crafting,"Modern, clean design with trending elements",t-shirts|stickers|posters,black|white|accent color,Modern sans-serif
im_just_ken,Im Just Ken,625,high,barbie_movie,"Modern, clean design with trending elements",t-shirts|stickers|posters,black|white|accent color,Modern sans-serif
my_happy_marriage,My Happy Marriage,625,low,anime_romance,"Soft, romantic design with pastel colors and elegant typography",stickers|phone cases|notebooks|posters,soft pink|lavender|cream,Elegant serif or soft sans-serif
