Filename,File Size,Creation Date,Width,Height,DPI_X,DPI_Y,Original Path
"2250x2700 pixel digital artwork, two panels, bold acrylic painting style. Left panel Sammy, raccoon, in graffiti alley, studded jacket, ripped jeans, playing guitar. Right panel Close-up Sammy by dumpster fire, iridescent colors, textured b.jpg",161.53 KB,11-26-25,768,1376,,,"/Users/steven/Music/nocTurneMeLoDieS/suno_backups/images/images/2250x2700 pixel digital artwork, two panels, bold acrylic painting style. Left panel Sammy, raccoon, in graffiti alley, studded jacket, ripped jeans, playing guitar. Right panel Close-up Sammy by dumpster fire, iridescent colors, textured b.jpg"
"High-resolution digital artwork, 2250x2700 pixels, two panels. Left Sammy, raccoon musician, in a dimly lit alleyway, studded leather jacket, white T-shirt, ripped jeans, acoustic guitar, neon graffiti. Right Sammy by a glowing dumpster fir.jpg",111.52 KB,11-26-25,768,1376,,,"/Users/steven/Music/nocTurneMeLoDieS/suno_backups/images/images/High-resolution digital artwork, 2250x2700 pixels, two panels. Left Sammy, raccoon musician, in a dimly lit alleyway, studded leather jacket, white T-shirt, ripped jeans, acoustic guitar, neon graffiti. Right Sammy by a glowing dumpster fir.jpg"
"High-resolution digital artwork, 2250x2700 pixels, two panels. Left Sammy, raccoon musician, in a dimly lit graffiti alleyway, studded leather jacket, holding an acoustic guitar. Right Sammy by a dumpster fire. Distinct split, cast bronze s.jpg",138.40 KB,11-26-25,768,1376,,,"/Users/steven/Music/nocTurneMeLoDieS/suno_backups/images/images/High-resolution digital artwork, 2250x2700 pixels, two panels. Left Sammy, raccoon musician, in a dimly lit graffiti alleyway, studded leather jacket, holding an acoustic guitar. Right Sammy by a dumpster fire. Distinct split, cast bronze s.jpg"
"High-resolution 2250x2700 pixel digital artwork, bright lens flare. Two juxtaposed panels depict a symbolic traditional tattoo art print of Sammy, a raccoon musician. Vibrant colors, retro flair, complex ornamental detail. White background,.jpg",107.18 KB,11-26-25,768,1376,,,"/Users/steven/Music/nocTurneMeLoDieS/suno_backups/images/images/High-resolution 2250x2700 pixel digital artwork, bright lens flare. Two juxtaposed panels depict a symbolic traditional tattoo art print of Sammy, a raccoon musician. Vibrant colors, retro flair, complex ornamental detail. White background,.jpg"
"Vibrant typography cover image, Summer Love Vibes prompt, dynamic motion, smooth gradient transitions, seamless color blending, blurred lines, action poses, edgy geeky style.jpg",113.33 KB,11-26-25,768,1376,,,"/Users/steven/Music/nocTurneMeLoDieS/suno_backups/images/images/Vibrant typography cover image, Summer Love Vibes prompt, dynamic motion, smooth gradient transitions, seamless color blending, blurred lines, action poses, edgy geeky style.jpg"
"High-resolution 2250x2700 pixel digital artwork in warm autumn Isekai anime style. Two panels depict Sammy, a raccoon musician, in a moody urban setting. Left panel Sammy in a dimly lit alleyway at night, clutching his guitar and wearing a .jpg",98.28 KB,11-26-25,768,1376,,,"/Users/steven/Music/nocTurneMeLoDieS/suno_backups/images/images/High-resolution 2250x2700 pixel digital artwork in warm autumn Isekai anime style. Two panels depict Sammy, a raccoon musician, in a moody urban setting. Left panel Sammy in a dimly lit alleyway at night, clutching his guitar and wearing a .jpg"
"2250x2700 pixel digital artwork, two juxtaposed panels, classic black and white watercolor style. Left panel Sammy in a dimly lit, graffiti-covered alleyway at night. He holds a stickered acoustic guitar, wearing a studded leather jacket, r.jpg",164.03 KB,11-26-25,768,1376,,,"/Users/steven/Music/nocTurneMeLoDieS/suno_backups/images/images/2250x2700 pixel digital artwork, two juxtaposed panels, classic black and white watercolor style. Left panel Sammy in a dimly lit, graffiti-covered alleyway at night. He holds a stickered acoustic guitar, wearing a studded leather jacket, r.jpg"
"2250x2700 pixel digital artwork, two-panel narrative. Left panel Sammy, a raccoon, in a dimly lit alleyway, clutching a guitar, wearing a studded leather jacket. Neon graffiti hearts, soft raindrops. Right panel Sammy seated by a glowing du.jpg",73.38 KB,11-26-25,768,1376,,,"/Users/steven/Music/nocTurneMeLoDieS/suno_backups/images/images/2250x2700 pixel digital artwork, two-panel narrative. Left panel Sammy, a raccoon, in a dimly lit alleyway, clutching a guitar, wearing a studded leather jacket. Neon graffiti hearts, soft raindrops. Right panel Sammy seated by a glowing du.jpg"
"High-resolution 2250x2700 pixel digital artwork, two-panel narrative. Left Sammy, raccoon musician, in dimly lit alleyway, clutching guitar, wearing studded leather jacket, ripped jeans, somber expression. Neon graffiti hearts reflect on we.jpg",112.39 KB,11-26-25,768,1376,,,"/Users/steven/Music/nocTurneMeLoDieS/suno_backups/images/images/High-resolution 2250x2700 pixel digital artwork, two-panel narrative. Left Sammy, raccoon musician, in dimly lit alleyway, clutching guitar, wearing studded leather jacket, ripped jeans, somber expression. Neon graffiti hearts reflect on we.jpg"
"High-resolution 2250x2700 pixel digital artwork, two juxtaposed panels. Left panel Sammy, a raccoon, stands in a dimly lit graffiti alleyway at night.  He holds an acoustic guitar, wearing a studded leather jacket over a raccoon graphic whi.jpg",145.88 KB,11-26-25,768,1376,,,"/Users/steven/Music/nocTurneMeLoDieS/suno_backups/images/images/High-resolution 2250x2700 pixel digital artwork, two juxtaposed panels. Left panel Sammy, a raccoon, stands in a dimly lit graffiti alleyway at night.  He holds an acoustic guitar, wearing a studded leather jacket over a raccoon graphic whi.jpg"
